,WT,P3 KD,P3 OE,P10 KD,P10 OE,P11 KD,P11 OE,P12 KD,P12 OE,P13 KD,P13 OE,P15 KD,P15 OE,P16 KD,P16 OE,P17 KD,P17 OE,P18 KD,P18 OE,P19 KD,P19 OE
617,12.204408817635272,12.144288577154308,12.384769539078157,12.204408817635272,12.204408817635272,12.204408817635272,12.204408817635272,15.931863727454909,11.302605210420841,12.204408817635272,12.204408817635272,16.59318637274549,10.821643286573146,12.204408817635272,12.204408817635272,10.821643286573146,16.59318637274549,12.204408817635272,12.024048096192384,12.204408817635272,12.204408817635272
618,10.100200400801604,10.100200400801604,10.5811623246493,10.100200400801604,10.100200400801604,10.100200400801604,10.100200400801604,15.751503006012024,6.973947895791583,10.160320641282565,10.100200400801604,10.160320641282565,10.100200400801604,10.100200400801604,10.100200400801604,10.100200400801604,10.160320641282565,10.160320641282565,10.100200400801604,10.100200400801604,10.100200400801604
619,10.160320641282565,10.04008016032064,11.422845691382767,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,15.210420841683367,7.635270541082164,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565
620,12.865731462925853,12.865731462925853,12.925851703406813,13.16633266533066,12.865731462925853,12.865731462925853,13.16633266533066,17.795591182364728,11.783567134268537,12.925851703406813,12.865731462925853,20.981963927855713,10.761523046092185,12.865731462925853,12.865731462925853,10.761523046092185,20.981963927855713,12.865731462925853,12.865731462925853,12.865731462925853,12.865731462925853
621,10.04008016032064,9.97995991983968,10.400801603206414,14.66933867735471,8.356713426853707,8.356713426853707,14.66933867735471,15.691382765531063,6.492985971943887,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064
622,10.641282565130261,10.5811623246493,10.94188376753507,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,15.991983967935873,7.214428857715431,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261,10.641282565130261
623,11.783567134268537,11.663326653306614,12.80561122244489,11.783567134268537,11.783567134268537,11.783567134268537,11.783567134268537,16.713426853707414,10.220440881763526,11.783567134268537,11.783567134268537,13.46693386773547,10.641282565130261,11.783567134268537,11.783567134268537,10.641282565130261,13.46693386773547,11.783567134268537,11.783567134268537,11.783567134268537,11.783567134268537
624,11.663326653306614,11.482965931863728,12.985971943887774,11.663326653306614,11.663326653306614,11.663326653306614,11.663326653306614,16.052104208416832,10.400801603206414,11.663326653306614,11.663326653306614,13.46693386773547,10.521042084168336,11.663326653306614,11.663326653306614,10.521042084168336,13.46693386773547,11.663326653306614,11.663326653306614,11.663326653306614,11.663326653306614
625,11.24248496993988,9.438877755511022,16.292585170340683,14.909819639278558,10.280561122244489,10.280561122244489,14.909819639278558,16.59318637274549,8.597194388777556,11.24248496993988,11.24248496993988,13.226452905811623,10.280561122244489,11.182364729458918,11.603206412825651,10.280561122244489,13.226452905811623,11.302605210420841,10.821643286573146,11.603206412825651,11.182364729458918
626,11.24248496993988,11.24248496993988,11.302605210420841,11.302605210420841,11.24248496993988,11.24248496993988,11.302605210420841,17.314629258517034,7.575150300601203,11.24248496993988,11.24248496993988,14.128256513026052,10.400801603206414,11.24248496993988,11.24248496993988,10.400801603206414,14.128256513026052,11.603206412825651,10.5811623246493,11.24248496993988,11.24248496993988
627,11.603206412825651,11.603206412825651,11.90380761523046,11.603206412825651,11.603206412825651,11.603206412825651,11.603206412825651,14.068136272545091,11.182364729458918,11.603206412825651,11.603206412825651,16.773547094188377,10.400801603206414,11.603206412825651,11.603206412825651,10.400801603206414,16.773547094188377,11.783567134268537,11.002004008016032,11.603206412825651,11.603206412825651
628,12.264529058116233,11.302605210420841,16.893787575150302,12.264529058116233,12.264529058116233,12.264529058116233,12.264529058116233,16.472945891783567,11.182364729458918,12.264529058116233,12.264529058116233,18.997995991983966,10.280561122244489,12.264529058116233,12.264529058116233,10.280561122244489,18.997995991983966,12.264529058116233,12.024048096192384,12.264529058116233,12.264529058116233
629,10.160320641282565,7.9959919839679365,14.969939879759519,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,15.270541082164328,6.973947895791583,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565,10.160320641282565
630,10.701402805611222,10.701402805611222,10.701402805611222,10.701402805611222,10.701402805611222,10.701402805611222,10.701402805611222,16.412825651302605,7.454909819639279,10.701402805611222,10.701402805611222,14.068136272545091,9.559118236472946,10.701402805611222,10.701402805611222,9.559118236472946,14.068136272545091,10.761523046092185,10.220440881763526,10.701402805611222,10.701402805611222
631,10.280561122244489,9.919839679358718,12.50501002004008,10.521042084168336,10.280561122244489,10.280561122244489,10.521042084168336,15.210420841683367,7.635270541082164,10.280561122244489,10.280561122244489,10.641282565130261,9.97995991983968,10.280561122244489,10.340681362725451,9.97995991983968,10.641282565130261,10.280561122244489,10.280561122244489,10.340681362725451,10.280561122244489
632,12.985971943887774,12.985971943887774,13.16633266533066,12.985971943887774,12.985971943887774,12.985971943887774,12.985971943887774,18.69739478957916,11.663326653306614,12.985971943887774,12.985971943887774,24.58917835671343,10.400801603206414,12.985971943887774,12.985971943887774,10.400801603206414,24.58917835671343,12.985971943887774,12.865731462925853,12.985971943887774,12.985971943887774
633,5.591182364729459,5.531062124248497,6.132264529058117,5.591182364729459,5.591182364729459,5.591182364729459,5.591182364729459,8.476953907815632,4.148296593186372,5.591182364729459,5.591182364729459,5.771543086172344,5.591182364729459,5.591182364729459,5.591182364729459,5.591182364729459,5.711422845691383,5.711422845691383,5.591182364729459,5.591182364729459,5.591182364729459
634,11.362725450901802,11.362725450901802,11.422845691382767,11.362725450901802,11.362725450901802,11.362725450901802,11.362725450901802,15.751503006012024,9.97995991983968,11.362725450901802,11.362725450901802,15.571142284569138,10.220440881763526,11.362725450901802,11.362725450901802,10.220440881763526,15.571142284569138,11.482965931863728,10.881763527054108,11.362725450901802,11.362725450901802
