,WT,A20 KO,CYLD KO,A20;CYLD DKO
831,616.8336673346694,616.8336673346694,616.8336673346694,2100
832,613.2264529058116,613.2264529058116,613.2264529058116,2100
833,627.6553106212425,627.6553106212425,627.6553106212425,2100
834,634.869739478958,634.869739478958,634.869739478958,2100
835,631.2625250501002,631.2625250501002,631.2625250501002,2100
836,616.8336673346694,616.8336673346694,616.8336673346694,2100
837,616.8336673346694,616.8336673346694,616.8336673346694,2100
838,609.6192384769539,609.6192384769539,609.6192384769539,2100
839,638.4769539078156,638.4769539078156,638.4769539078156,2100
840,606.0120240480962,606.0120240480962,606.0120240480962,2100
841,627.6553106212425,627.6553106212425,627.6553106212425,2100
842,634.869739478958,634.869739478958,634.869739478958,2100
843,634.869739478958,634.869739478958,634.869739478958,2100
844,613.2264529058116,2100.0,613.2264529058116,2100
845,609.6192384769539,609.6192384769539,609.6192384769539,2100
846,642.0841683366733,642.0841683366733,642.0841683366733,2100
847,587.9759519038076,587.9759519038076,587.9759519038076,2100
848,642.0841683366733,642.0841683366733,642.0841683366733,2100
849,609.6192384769539,609.6192384769539,609.6192384769539,2100
850,620.440881763527,620.440881763527,620.440881763527,2100
851,598.7975951903808,598.7975951903808,598.7975951903808,2100
852,609.6192384769539,609.6192384769539,609.6192384769539,2100
853,609.6192384769539,609.6192384769539,609.6192384769539,2100
854,613.2264529058116,613.2264529058116,613.2264529058116,2100
855,620.440881763527,620.440881763527,620.440881763527,2100
856,616.8336673346694,616.8336673346694,616.8336673346694,2100
857,631.2625250501002,631.2625250501002,631.2625250501002,2100
858,624.0480961923848,624.0480961923848,624.0480961923848,2100
859,613.2264529058116,613.2264529058116,613.2264529058116,2100
860,616.8336673346694,616.8336673346694,616.8336673346694,2100
861,642.0841683366733,642.0841683366733,642.0841683366733,2100
862,616.8336673346694,616.8336673346694,616.8336673346694,2100
863,616.8336673346694,616.8336673346694,616.8336673346694,2100
864,627.6553106212425,627.6553106212425,627.6553106212425,2100
865,606.0120240480962,606.0120240480962,606.0120240480962,2100
866,609.6192384769539,609.6192384769539,609.6192384769539,2100
867,598.7975951903808,598.7975951903808,598.7975951903808,2100
868,609.6192384769539,609.6192384769539,609.6192384769539,2100
869,2100.0,609.6192384769539,609.6192384769539,2100
870,609.6192384769539,609.6192384769539,609.6192384769539,2100
871,595.1903807615231,595.1903807615231,595.1903807615231,2100
872,638.4769539078156,638.4769539078156,638.4769539078156,2100
873,627.6553106212425,627.6553106212425,627.6553106212425,2100
