,WT,P2 KD,P2 OE,P3 KD,P3 OE,P4 KD,P4 OE,P5 KD,P5 OE,P6 KD,P6 OE,P12 KD,P12 OE,P13 KD,P13 OE
0,10.04008016032064,10.04008016032064,10.04008016032064,9.97995991983968,10.400801603206414,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,10.04008016032064,14.008016032064129,8.597194388777556,10.04008016032064,10.04008016032064
1,10.400801603206414,10.340681362725451,10.701402805611222,10.340681362725451,10.641282565130261,10.761523046092185,10.340681362725451,10.340681362725451,10.641282565130261,10.641282565130261,10.340681362725451,14.849699398797595,8.356713426853707,10.521042084168336,10.340681362725451
2,10.220440881763526,10.220440881763526,10.280561122244489,10.220440881763526,10.340681362725451,13.346693386773548,9.318637274549099,10.220440881763526,10.280561122244489,10.280561122244489,10.220440881763526,15.330661322645291,7.154308617234468,10.280561122244489,10.220440881763526
3,10.400801603206414,10.400801603206414,10.400801603206414,10.160320641282565,12.264529058116233,10.460921843687375,10.400801603206414,10.400801603206414,10.400801603206414,10.400801603206414,10.400801603206414,16.59318637274549,6.793587174348698,10.460921843687375,10.400801603206414
4,10.5811623246493,10.5811623246493,10.641282565130261,10.521042084168336,10.641282565130261,10.641282565130261,10.521042084168336,10.5811623246493,10.5811623246493,10.5811623246493,10.5811623246493,14.488977955911823,9.198396793587174,11.603206412825651,10.400801603206414
5,11.182364729458918,11.062124248496994,11.90380761523046,11.182364729458918,11.182364729458918,16.352705410821645,8.597194388777556,9.919839679358718,15.210420841683367,15.210420841683367,9.919839679358718,17.13426853707415,7.454909819639279,11.182364729458918,11.182364729458918
6,10.280561122244489,10.280561122244489,10.280561122244489,10.280561122244489,10.400801603206414,10.280561122244489,10.280561122244489,10.280561122244489,10.280561122244489,10.280561122244489,10.280561122244489,13.707414829659319,9.318637274549099,10.460921843687375,10.280561122244489
7,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,7.515030060120241,10.280561122244489,6.613226452905812,7.515030060120241,7.515030060120241
8,8.11623246492986,8.056112224448897,8.657314629258517,8.056112224448897,8.897795591182364,9.01803607214429,7.9959919839679365,8.11623246492986,8.296593186372744,8.296593186372744,8.11623246492986,13.286573146292586,5.050100200400802,8.537074148296593,8.056112224448897
9,9.37875751503006,9.37875751503006,9.498997995991983,9.138276553106213,11.482965931863728,9.619238476953909,9.37875751503006,9.37875751503006,9.438877755511022,9.438877755511022,9.37875751503006,15.631262525050099,5.831663326653307,9.67935871743487,9.37875751503006
