,WT,P3 KD,P3 OE,P12 KD,P12 OE,P13 KD,P13 OE,P15 KD,P15 OE,P16 KD,P16 OE,P17 KD,P17 OE,P18 KD,P18 OE,P19 KD,P19 OE,P20 KD,P20 OE
0,10.821643286573146,9.859719438877756,15.390781563126252,15.991983967935873,8.356713426853707,11.182364729458918,10.761523046092185,10.160320641282565,11.963927855711423,10.881763527054108,10.400801603206414,11.963927855711423,10.160320641282565,10.821643286573146,10.821643286573146,11.182364729458918,10.220440881763526,10.821643286573146,10.821643286573146
1,11.422845691382767,11.362725450901802,11.603206412825651,17.25450901803607,7.695390781563126,11.422845691382767,11.362725450901802,10.340681362725451,15.090180360721442,11.422845691382767,11.362725450901802,15.270541082164328,10.160320641282565,11.362725450901802,11.422845691382767,11.422845691382767,11.24248496993988,11.422845691382767,11.362725450901802
2,12.084168336673347,12.084168336673347,12.565130260521043,18.396793587174347,8.176352705410823,12.144288577154308,12.084168336673347,11.002004008016032,16.052104208416832,12.144288577154308,12.024048096192384,16.23246492985972,10.821643286573146,12.084168336673347,12.144288577154308,12.144288577154308,11.90380761523046,12.144288577154308,12.084168336673347
3,11.723446893787576,11.603206412825651,13.16633266533066,19.058116232464933,7.575150300601203,11.783567134268537,11.723446893787576,10.400801603206414,16.773547094188377,11.783567134268537,11.663326653306614,16.773547094188377,10.400801603206414,11.723446893787576,11.723446893787576,11.723446893787576,11.723446893787576,11.723446893787576,11.723446893787576
4,11.24248496993988,11.24248496993988,11.482965931863728,17.074148296593187,7.635270541082164,11.302605210420841,11.24248496993988,10.220440881763526,14.909819639278558,11.24248496993988,11.24248496993988,15.030060120240481,10.100200400801604,11.24248496993988,11.302605210420841,11.302605210420841,11.062124248496994,11.302605210420841,11.24248496993988
5,11.543086172344688,11.543086172344688,11.603206412825651,16.773547094188377,9.138276553106213,11.543086172344688,11.543086172344688,10.5811623246493,13.346693386773548,11.543086172344688,11.422845691382767,13.346693386773548,10.5811623246493,11.543086172344688,11.543086172344688,11.843687374749498,10.761523046092185,11.543086172344688,11.543086172344688
6,7.935871743486974,7.875751503006012,7.935871743486974,11.90380761523046,5.470941883767535,8.236472945891784,7.875751503006012,7.394789579158316,10.100200400801604,8.236472945891784,7.454909819639279,10.100200400801604,7.394789579158316,7.935871743486974,7.935871743486974,7.935871743486974,7.875751503006012,7.9959919839679365,7.875751503006012
7,10.460921843687375,10.100200400801604,13.226452905811623,15.090180360721442,8.41683366733467,10.821643286573146,10.400801603206414,10.100200400801604,11.062124248496994,10.521042084168336,10.160320641282565,11.062124248496994,10.100200400801604,10.460921843687375,10.460921843687375,10.821643286573146,10.100200400801604,10.460921843687375,10.460921843687375
8,10.400801603206414,10.220440881763526,12.024048096192384,15.330661322645291,8.056112224448897,10.5811623246493,10.400801603206414,10.100200400801604,11.302605210420841,10.701402805611222,10.100200400801604,11.302605210420841,10.100200400801604,10.400801603206414,10.400801603206414,10.521042084168336,10.160320641282565,10.400801603206414,10.400801603206414
9,11.422845691382767,11.422845691382767,11.603206412825651,17.374749498997996,7.695390781563126,12.925851703406813,11.182364729458918,10.641282565130261,12.685370741482965,11.422845691382767,11.422845691382767,12.685370741482965,10.641282565130261,11.422845691382767,11.422845691382767,11.90380761523046,10.701402805611222,11.482965931863728,11.422845691382767
